Timestamp,Packet_Size,Src_IP,Dst_IP,Src_Port,Dst_Port,TCP_Flags,App
1740728637.751221,670,142.250.75.78,192.168.100.93,443,62104,PA,Chrome
1740728637.797709,54,192.168.100.93,142.250.75.78,62104,443,A,Chrome
1740728637.974035,55,192.168.100.93,20.189.173.23,62062,443,A,Chrome
1740728638.23312,66,20.189.173.23,192.168.100.93,443,62062,A,Chrome
1740728638.744912,66,142.251.168.84,192.168.100.93,443,62096,SA,Chrome
1740728638.798607,54,192.168.100.93,142.250.75.78,62100,443,FA,Chrome
1740728638.79871,54,192.168.100.93,142.250.75.97,62102,443,FA,Chrome
1740728638.798765,54,192.168.100.93,142.250.75.170,62101,443,FA,Chrome
1740728638.798813,54,192.168.100.93,142.250.75.78,62104,443,FA,Chrome
1740728638.807926,60,142.250.75.78,192.168.100.93,443,62100,FA,Chrome
1740728638.807969,54,192.168.100.93,142.250.75.78,62100,443,A,Chrome
1740728638.811351,66,192.168.100.93,142.250.75.78,62107,443,S,Chrome
1740728638.813393,60,142.250.75.97,192.168.100.93,443,62102,FA,Chrome
1740728638.813393,60,142.250.75.170,192.168.100.93,443,62101,FA,Chrome
1740728638.813393,60,142.250.75.78,192.168.100.93,443,62104,FA,Chrome
1740728638.813429,54,192.168.100.93,142.250.75.97,62102,443,A,Chrome
1740728638.813478,54,192.168.100.93,142.250.75.170,62101,443,A,Chrome
1740728638.813506,54,192.168.100.93,142.250.75.78,62104,443,A,Chrome
1740728638.822045,66,142.250.75.78,192.168.100.93,443,62107,SA,Chrome
1740728638.822103,54,192.168.100.93,142.250.75.78,62107,443,A,Chrome
1740728638.822621,1790,192.168.100.93,142.250.75.78,62107,443,PA,Chrome
1740728638.833273,60,142.250.75.78,192.168.100.93,443,62107,A,Chrome
1740728638.834006,60,142.250.75.78,192.168.100.93,443,62107,A,Chrome
1740728638.867623,54,192.168.100.93,142.250.75.78,62107,443,FA,Chrome
1740728638.881617,60,142.250.75.78,192.168.100.93,443,62107,A,Chrome
1740728638.88828,1454,142.250.75.78,192.168.100.93,443,62107,A,Chrome
1740728638.88828,1454,142.250.75.78,192.168.100.93,443,62107,A,Chrome
1740728638.888317,54,192.168.100.93,142.250.75.78,62107,443,RA,Chrome
1740728638.888377,1454,142.250.75.78,192.168.100.93,443,62107,PA,Chrome
1740728638.888453,1454,142.250.75.78,192.168.100.93,443,62107,A,Chrome
